6049,15,2
4712,1,5
7718,4,10
7913,9,17
5237,13,9
6191,17,4
1763,13,17
5006,6,6
344,6,13
1514,10,7
4602,16,17
3048,15,2
574,16,4
541,19,4
5221,18,2
1624,12,20
2626,7,3
3574,17,2
5701,20,2
4573,10,20
1540,3,16
153,5,6
1248,9,3
3064,19,4
4601,16,4
3624,12,6
101,14,17
4563,21,4
960,21,19
1916,22,4
2717,11,21
3061,2,6
1507,18,9
3086,13,17
1687,11,9
7850,11,3
3866,3,5
878,10,2
5600,15,19
1392,1,5
4075,3,16
752,6,6
6807,7,4
4849,1,3
4263,13,4
5190,11,21
1170,15,2
5040,3,18
5623,14,10
8089,18,20
7378,20,19
314,17,19
8276,14,10
8121,18,19
4249,6,17
3121,9,16
4119,3,21
2493,13,4
5679,2,15
8132,9,3
7108,19,4
7341,4,6
7350,19,4
8008,17,10
6978,17,20
1388,22,4
6445,7,1
1662,4,8
3320,15,2
5236,16,4
8266,16,4
2201,21,4
4019,13,20
5394,14,10
276,18,9
5160,20,19
291,10,2
4051,21,4
3937,6,6
2461,6,18
2388,9,2
7696,16,4
1290,20,19
5913,21,4
6290,8,6
6551,2,5
585,18,21
2501,14,4
3453,6,16
2224,17,20
353,22,4
455,9,4
4202,6,18
4276,9,20
418,11,19
4627,19,4
7645,3,22
668,21,4
5794,6,12
8221,17,20
2976,10,16
6859,6,18
216,2,15
8091,1,5
3665,10,2
5024,19,4
8165,12,11
475,6,12
8260,20,2
4788,21,19
1520,21,4
688,12,17
4806,12,21
3148,13,17
5910,22,17
3597,11,21
4002,21,4
3771,5,20
6178,15,2
1348,8,2
143,10,17
4099,12,20
3927,3,22
5747,19,4
5156,12,4
3466,4,6
3386,19,19
4584,12,21
7102,18,4
2786,8,21
875,1,16
4559,7,21
2554,21,4
6636,19,4
3046,11,21
3116,19,4
1761,22,19
492,18,9
1008,15,2
5604,1,5
1688,8,6
1072,18,19
2418,4,6
4403,3,21
5482,13,2
5767,14,2
4010,6,12
6710,4,2
195,9,1
3342,18,9
4536,9,9
7797,4,2
6351,14,9
2022,18,9
8036,20,19
5881,20,19
364,21,4
2290,1,5
7370,6,8
7303,8,21
2651,10,7
3559,9,20
7106,7,3
6648,5,17
1774,15,17
4416,18,4
8241,9,3
6385,2,5
2020,5,13
5809,22,19
7119,17,9
2581,4,2
527,10,7
3620,22,19
2190,20,2
507,1,5
3385,17,9
8080,12,21
5737,17,19
6041,2,15
2194,16,4
3155,21,4
7117,16,4
7832,22,4
462,4,7
6377,11,2
1639,11,21
1343,11,21
243,7,3
3581,19,4
2722,12,21
268,21,4
2015,22,4
6514,7,1
6373,17,20
2880,4,5
176,7,3
2126,1,5
899,19,4
4266,18,4
4017,10,2
1267,13,19
3736,13,4
5830,17,20
904,9,19
1858,18,2
3955,11,18
167,22,4
4904,5,6
3615,14,6
7772,10,6
2796,1,5
8200,20,9
7944,15,17
6466,18,20
3552,2,22
6408,11,19
4570,10,2
7499,6,18
250,11,2
8000,5,12
3107,4,5
5382,8,6
6964,12,3
1554,18,2
3192,12,4
6887,16,7
7936,10,6
6643,11,21
6712,12,2
122,19,4
5103,22,4
6276,16,4
2410,3,8
4819,2,15
2643,3,16
5542,12,11
3506,13,9
8258,13,9
2989,15,6
891,20,4
2199,21,4
5049,4,6
1437,16,4
6845,22,17
7766,21,4
7020,1,5
4507,19,4
1760,21,4
190,13,3
30,16,4
1312,11,21
4688,9,6
461,4,6
1792,7,1
5707,12,9
1129,16,17
328,1,5
3570,14,2
2455,15,17
1313,12,20
3930,4,16
6085,17,2
2810,3,7
4969,18,9
4198,10,6
3187,8,6
5804,16,4
6113,8,12
6280,22,4
4259,11,21
7596,16,4
1431,2,5
5005,1,5
2299,14,2
483,21,4
4493,18,19
999,3,18
6004,11,3
4028,18,2
4485,2,15
5524,12,21
6883,11,17
3108,4,5
6355,10,6
159,4,6
1771,13,17
4989,14,4
4786,22,4
1777,5,6
2382,13,17
649,3,16
4822,8,3
5775,18,9
1461,5,12
5999,7,1
449,7,3
7075,15,19
6901,21,19
4538,6,12
571,11,21
2792,21,4
7249,19,4
5732,11,2
1697,1,5
948,2,21
3472,8,21
5868,15,2
2492,11,4
5692,17,17
2446,7,1
7862,16,4
550,21,20
2369,4,12
4474,16,4
6659,2,8
6907,13,2
2662,17,2
2434,5,12
3341,11,3
1986,8,20
8061,14,21
4048,17,4
7089,17,19
543,17,2
6798,13,2
7606,10,9
3077,4,2
5565,11,2
4037,19,4
741,3,16
5189,10,6
3242,7,1
6382,18,9
4509,20,4
1788,16,4
3864,2,6
6114,18,9
3157,6,7
458,17,19
1156,21,4
1880,12,6
1567,20,19
1305,17,20
1712,2,22
6647,5,13
1298,16,19
1767,9,3
6899,2,15
6421,17,9
1246,12,4
343,9,20
6238,9,3
7047,11,4
3650,12,4
187,12,11
7001,14,2
2744,19,4
8158,16,4
1372,22,4
876,1,5
3664,11,4
2099,22,4
8240,12,11
7829,13,17
3177,14,6
3230,7,3
1094,11,21
7910,17,9
6356,13,6
340,16,4
2624,15,9
7526,12,21
633,1,16
5986,15,2
464,7,1
7049,18,19
8170,8,5
4968,22,19
3422,3,16
5195,11,21
6455,11,21
3196,17,19
1107,14,2
5404,2,15
8070,20,17
5036,1,5
2587,12,4
2855,17,17
2621,20,4
669,2,15
7835,17,20
663,9,20
257,16,4
3612,20,4
6422,20,19
1433,6,6
7605,8,6
4494,17,20
173,8,6
4156,6,2
7498,7,1
5837,5,12
2177,9,3
6281,7,3
4169,13,9
6350,6,8
3167,12,17
1273,1,16
5570,22,4
3352,16,2
6634,6,6
5749,22,4
3885,4,7
5673,1,5
1172,10,6
236,4,6
7964,12,6
4997,10,6
2473,21,19
2176,17,4
3184,15,2
8189,14,2
4083,4,10
3464,16,4
6557,9,17
4235,21,4
1143,17,20
2456,5,16
252,1,5
5523,7,3
2214,6,16
6892,5,12
5242,12,11
6513,14,9
7958,19,4
6544,22,19
7952,14,10
6697,20,4
1428,6,12
8003,21,19
5003,2,5
1982,15,2
1295,22,19
246,8,17
440,3,8
3262,9,3
1189,20,19
4994,5,2
194,6,16
3452,3,16
508,3,16
3394,16,2
2694,11,21
7924,7,3
6164,6,2
5854,4,7
2294,20,19
6655,13,17
7314,21,4
1412,13,2
4616,6,8
5763,16,17
1130,6,16
1192,14,4
4460,3,4
1979,2,5
4625,20,4
6982,3,5
8110,12,7
777,20,4
5137,3,6
6200,12,17
6195,5,12
121,10,9
6409,8,6
5028,20,4
4233,19,4
806,22,2
6685,19,17
7761,22,4
290,9,19
263,15,2
3171,18,4
3951,8,17
5460,14,21
7313,20,4
4499,1,5
1588,1,5
6173,1,5
3543,3,16
7422,7,1
4430,9,3
5915,20,19
2731,2,5
7384,1,13
2864,13,17
829,1,16
1387,17,9
7239,5,12
4511,19,4
5892,16,4
557,15,21
7669,8,3
7977,2,5
3070,17,4
2765,6,10
5217,8,5
7863,10,6
5930,21,4
5171,8,6
3160,18,4
5766,15,17
6027,9,9
4471,4,2
1004,21,4
7816,6,8
7739,12,11
5902,6,6
4800,10,6
335,7,3
6236,7,3
3245,6,6
5062,9,20
2962,22,4
6714,14,10
452,10,17
4828,1,5
6398,10,6
7626,22,19
3124,22,4
179,16,19
5903,11,21
7359,16,2
3821,21,4
431,1,5
1444,15,11
680,15,17
4503,15,19
5444,8,3
2282,20,4
2393,13,9
1877,10,16
6974,16,4
1980,6,10
469,15,2
2447,11,21
4139,19,4
6665,22,19
4508,18,2
224,18,9
2008,14,20
2226,22,4
7390,7,1
6868,13,2
5883,21,4
4543,12,2
4983,15,2
6093,21,4
7405,13,2
293,14,17
7085,12,4
6509,11,20
5441,3,16
1120,12,21
7410,16,17
1857,17,20
2003,12,10
6425,18,9
1112,19,4
7225,3,7
3454,11,19
8125,19,4
1374,16,4
3751,14,2
2743,11,21
7693,10,17
7907,6,7
969,6,8
2641,14,19
4466,16,4
8057,10,6
7366,13,17
2387,19,4
4104,18,9
4683,17,2
5665,6,8
1165,7,3
1486,8,5
3728,17,4
4876,13,2
2436,22,4
1782,3,5
6577,10,17
7841,3,18
2595,15,4
7788,15,2
2548,14,17
1223,18,17
4610,7,21
7325,14,21
2495,8,2
940,1,5
8181,3,18
6527,8,7
3194,2,6
3326,6,5
2013,20,4
6574,6,5
6789,5,16
8062,11,21
5500,2,16
7927,9,1
2354,1,5
5546,18,9
6448,13,17
7615,13,17
2117,16,4
7689,2,5
4577,16,17
8263,22,17
3239,22,4
7143,15,2
5384,7,18
7091,8,3
7347,21,4
7853,1,5
1686,11,21
2467,3,18
5241,10,12
4044,8,6
5118,21,19
5846,10,17
7779,7,21
6877,21,4
5111,14,2
2615,6,2
5589,19,2
2782,17,20
4523,5,9
1465,22,4
2491,9,3
5911,17,4
6110,20,2
2251,8,21
1599,19,4
6208,22,4
1638,9,3
6035,18,9
4582,3,12
4008,8,5
1176,19,4
8075,22,4
6384,1,22
5254,21,4
5861,3,18
118,3,14
279,2,5
7283,3,21
7052,4,16
2247,10,6
4330,20,19
1135,2,15
6709,2,5
1578,6,16
5974,3,18
2553,18,9
4106,13,9
7751,9,3
4429,8,3
6402,12,2
5824,13,17
2188,19,4
1430,14,2
8071,20,2
1244,15,2
5,3,18
1463,1,5
871,3,5
1137,16,4
28,10,2
8225,3,18
6949,20,19
5687,4,5
4995,1,6
1690,22,17
6169,19,4
7537,3,16
8224,1,5
3767,3,7
6861,12,11
4091,15,21
7538,4,2
4021,20,4
6244,14,20
5771,13,17
3561,21,4
1331,18,9
5807,16,17
6043,5,18
7743,17,4
955,14,9
8214,16,2
5995,20,19
2614,1,16
1136,6,2
2738,17,20
2180,9,1
3321,5,12
3936,19,4
292,11,19
2888,4,22
1683,4,5
1730,14,2
5037,11,17
4073,10,2
5519,4,7
3863,4,5
3392,18,9
5891,16,9
5973,5,12
1193,17,20
1424,20,4
165,19,4
2206,5,2
2863,7,3
6966,13,2
6663,21,4
2433,18,9
1164,3,7
1781,18,9
570,6,7
3364,10,6
3164,17,4
1140,17,17
5188,10,7
1287,5,12
7780,10,7
3660,12,4
2971,14,3
2275,4,6
7834,17,20
2734,14,2
3316,3,16
2186,19,4
5233,14,4
7156,4,8
350,12,6
3069,22,4
152,11,21
306,17,19
523,9,6
1346,4,6
2752,15,2
7813,11,21
2954,5,12
