6049,15
4712,1
7718,4
7913,9
5237,13
6191,17
1763,13
5006,6
344,6
1514,10
4602,16
3048,15
574,16
541,19
5221,18
1624,12
2626,7
3574,17
5701,20
4573,10
1540,3
153,5
1248,9
3064,19
4601,16
3624,12
101,14
4563,21
960,21
1916,22
2717,11
3061,2
1507,18
3086,13
1687,11
7850,11
3866,3
878,10
5600,15
1392,1
4075,3
752,6
6807,7
4849,1
4263,13
5190,11
1170,15
5040,3
5623,14
8089,18
7378,20
314,17
8276,14
8121,18
4249,6
3121,9
4119,3
2493,13
5679,2
8132,9
7108,19
7341,4
7350,19
8008,17
6978,17
1388,22
6445,7
1662,4
3320,15
5236,16
8266,16
2201,21
4019,13
5394,14
276,18
5160,20
291,10
4051,21
3937,6
2461,6
2388,9
7696,16
1290,20
5913,21
6290,8
6551,2
585,18
2501,14
3453,6
2224,17
353,22
455,9
4202,6
4276,9
418,11
4627,19
7645,3
668,21
5794,6
8221,17
2976,10
6859,6
216,2
8091,1
3665,10
5024,19
8165,12
475,6
8260,20
4788,21
1520,21
688,12
4806,12
3148,13
5910,22
3597,11
4002,21
3771,5
6178,15
1348,8
143,10
4099,12
3927,3
5747,19
5156,12
3466,4
3386,19
4584,12
7102,18
2786,8
875,1
4559,7
2554,21
6636,19
3046,11
3116,19
1761,22
492,18
1008,15
5604,1
1688,8
1072,18
2418,4
4403,3
5482,13
5767,14
4010,6
6710,4
195,9
3342,18
4536,9
7797,4
6351,14
2022,18
8036,20
5881,20
364,21
2290,1
7370,6
7303,8
2651,10
3559,9
7106,7
6648,5
1774,15
4416,18
8241,9
6385,2
2020,5
5809,22
7119,17
2581,4
527,10
3620,22
2190,20
507,1
3385,17
8080,12
5737,17
6041,2
2194,16
3155,21
7117,16
7832,22
462,4
6377,11
1639,11
1343,11
243,7
3581,19
2722,12
268,21
2015,22
6514,7
6373,17
2880,4
176,7
2126,1
899,19
4266,18
4017,10
1267,13
3736,13
5830,17
904,9
1858,18
3955,11
167,22
4904,5
3615,14
7772,10
2796,1
8200,20
7944,15
6466,18
3552,2
6408,11
4570,10
7499,6
250,11
8000,5
3107,4
5382,8
6964,12
1554,18
3192,12
6887,16
7936,10
6643,11
6712,12
122,19
5103,22
6276,16
2410,3
4819,2
2643,3
5542,12
3506,13
8258,13
2989,15
891,20
2199,21
5049,4
1437,16
6845,22
7766,21
7020,1
4507,19
1760,21
190,13
30,16
1312,11
4688,9
461,4
1792,7
5707,12
1129,16
328,1
3570,14
2455,15
1313,12
3930,4
6085,17
2810,3
4969,18
4198,10
3187,8
5804,16
6113,8
6280,22
4259,11
7596,16
1431,2
5005,1
2299,14
483,21
4493,18
999,3
6004,11
4028,18
4485,2
5524,12
6883,11
3108,4
6355,10
159,4
1771,13
4989,14
4786,22
1777,5
2382,13
649,3
4822,8
5775,18
1461,5
5999,7
449,7
7075,15
6901,21
4538,6
571,11
2792,21
7249,19
5732,11
1697,1
948,2
3472,8
5868,15
2492,11
5692,17
2446,7
7862,16
550,21
2369,4
4474,16
6659,2
6907,13
2662,17
2434,5
3341,11
1986,8
8061,14
4048,17
7089,17
543,17
6798,13
7606,10
3077,4
5565,11
4037,19
741,3
5189,10
3242,7
6382,18
4509,20
1788,16
3864,2
6114,18
3157,6
458,17
1156,21
1880,12
1567,20
1305,17
1712,2
6647,5
1298,16
1767,9
6899,2
6421,17
1246,12
343,9
6238,9
7047,11
3650,12
187,12
7001,14
2744,19
8158,16
1372,22
876,1
3664,11
2099,22
8240,12
7829,13
3177,14
3230,7
1094,11
7910,17
6356,13
340,16
2624,15
7526,12
633,1
5986,15
464,7
7049,18
8170,8
4968,22
3422,3
5195,11
6455,11
3196,17
1107,14
5404,2
8070,20
5036,1
2587,12
2855,17
2621,20
669,2
7835,17
663,9
257,16
3612,20
6422,20
1433,6
7605,8
4494,17
173,8
4156,6
7498,7
5837,5
2177,9
6281,7
4169,13
6350,6
3167,12
1273,1
5570,22
3352,16
6634,6
5749,22
3885,4
5673,1
1172,10
236,4
7964,12
4997,10
2473,21
2176,17
3184,15
8189,14
4083,4
3464,16
6557,9
4235,21
1143,17
2456,5
252,1
5523,7
2214,6
6892,5
5242,12
6513,14
7958,19
6544,22
7952,14
6697,20
1428,6
8003,21
5003,2
1982,15
1295,22
246,8
440,3
3262,9
1189,20
4994,5
194,6
3452,3
508,3
3394,16
2694,11
7924,7
6164,6
5854,4
2294,20
6655,13
7314,21
1412,13
4616,6
5763,16
1130,6
1192,14
4460,3
1979,2
4625,20
6982,3
8110,12
777,20
5137,3
6200,12
6195,5
121,10
6409,8
5028,20
4233,19
806,22
6685,19
7761,22
290,9
263,15
3171,18
3951,8
5460,14
7313,20
4499,1
1588,1
6173,1
3543,3
7422,7
4430,9
5915,20
2731,2
7384,1
2864,13
829,1
1387,17
7239,5
4511,19
5892,16
557,15
7669,8
7977,2
3070,17
2765,6
5217,8
7863,10
5930,21
5171,8
3160,18
5766,15
6027,9
4471,4
1004,21
7816,6
7739,12
5902,6
4800,10
335,7
6236,7
3245,6
5062,9
2962,22
6714,14
452,10
4828,1
6398,10
7626,22
3124,22
179,16
5903,11
7359,16
3821,21
431,1
1444,15
680,15
4503,15
5444,8
2282,20
2393,13
1877,10
6974,16
1980,6
469,15
2447,11
4139,19
6665,22
4508,18
224,18
2008,14
2226,22
7390,7
6868,13
5883,21
4543,12
4983,15
6093,21
7405,13
293,14
7085,12
6509,11
5441,3
1120,12
7410,16
1857,17
2003,12
6425,18
1112,19
7225,3
3454,11
8125,19
1374,16
3751,14
2743,11
7693,10
7907,6
969,6
2641,14
4466,16
8057,10
7366,13
2387,19
4104,18
4683,17
5665,6
1165,7
1486,8
3728,17
4876,13
2436,22
1782,3
6577,10
7841,3
2595,15
7788,15
2548,14
1223,18
4610,7
7325,14
2495,8
940,1
8181,3
6527,8
3194,2
3326,6
2013,20
6574,6
6789,5
8062,11
5500,2
7927,9
2354,1
5546,18
6448,13
7615,13
2117,16
7689,2
4577,16
8263,22
3239,22
7143,15
5384,7
7091,8
7347,21
7853,1
1686,11
2467,3
5241,10
4044,8
5118,21
5846,10
7779,7
6877,21
5111,14
2615,6
5589,19
2782,17
4523,5
1465,22
2491,9
5911,17
6110,20
2251,8
1599,19
6208,22
1638,9
6035,18
4582,3
4008,8
1176,19
8075,22
6384,1
5254,21
5861,3
118,3
279,2
7283,3
7052,4
2247,10
4330,20
1135,2
6709,2
1578,6
5974,3
2553,18
4106,13
7751,9
4429,8
6402,12
5824,13
2188,19
1430,14
8071,20
1244,15
5,3
1463,1
871,3
1137,16
28,10
8225,3
6949,20
5687,4
4995,1
1690,22
6169,19
7537,3
8224,1
3767,3
6861,12
4091,15
7538,4
4021,20
6244,14
5771,13
3561,21
1331,18
5807,16
6043,5
7743,17
955,14
8214,16
5995,20
2614,1
1136,6
2738,17
2180,9
3321,5
3936,19
292,11
2888,4
1683,4
1730,14
5037,11
4073,10
5519,4
3863,4
3392,18
5891,16
5973,5
1193,17
1424,20
165,19
2206,5
2863,7
6966,13
6663,21
2433,18
1164,3
1781,18
570,6
3364,10
3164,17
1140,17
5188,10
1287,5
7780,10
3660,12
2971,14
2275,4
7834,17
2734,14
3316,3
2186,19
5233,14
7156,4
350,12
3069,22
